name,issued,organization_name,organization_url,administration,agriculture,construction,crime,culture,education,energy,finances,geography,health,industry,legislation,mobility,national-economy,politics,population,prices,public-order,social-security,statistical-basis,territory,tourism,trade,work,nb_visits,nb_hits,nb_hits_with_time_generation,min_time_generation,max_time_generation,sum_time_spent,bounce_count,exit_nb_visits,sum_daily_nb_uniq_visitors,avg_time_on_dimension,bounce_rate,exit_rate,avg_time_generation,metadata_segment,date
covid_19-fallzahlen-kanton-zuerich,05.03.2020,gesundheitsdirektion-kanton-zuerich,https://opendata.swiss/organization/gesundheitsdirektion-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3574,4742,3900,132.805,398.799,68596,1172,1829,3373,00:00:14,33%,51%,0.87s,dimension2==covid_19-fallzahlen-kanton-zuerich,30.11.2020
covid_19-cases-per-canton-of-switzerland-and-principality-of-liechtenstein,16.03.2020,fachstelle-ogd-kanton-zuerich,https://opendata.swiss/organization/fachstelle-ogd-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,247,173,61.695,86.965,5633,8,42,163,00:00:23,5%,25%,0.79s,dimension2==covid_19-cases-per-canton-of-switzerland-and-principality-of-liechtenstein,30.11.2020
covid_19-belegung-intensivpflege-kanton-zuerich,06.11.2020,gesundheitsdirektion-kanton-zuerich,https://opendata.swiss/organization/gesundheitsdirektion-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,164,116,18.418,38.95,2647,17,35,107,00:00:16,15%,32%,0.69s,dimension2==covid_19-belegung-intensivpflege-kanton-zuerich,30.11.2020
web-analytics-der-open-government-data-des-kantons-zuerich,11.12.2018,fachstelle-ogd-kanton-zuerich,https://opendata.swiss/organization/fachstelle-ogd-kanton-zuerich,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,108,88,20.953,45.831,2430,25,48,88,00:00:23,28%,55%,1.05s,dimension2==web-analytics-der-open-government-data-des-kantons-zuerich,30.11.2020
bevoelkerung-nach-gemeinde-heimat-geschlecht-und-alter,03.02.2020,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,87,130,78,32.227,44.515,5961,9,21,87,00:00:46,10%,24%,0.75s,dimension2==bevoelkerung-nach-gemeinde-heimat-geschlecht-und-alter,30.11.2020
lufttemperatur-und-luftfeuchte-lora-sensor-messwerte,31.03.2020,awel-kanton-zuerich,https://opendata.swiss/organization/awel-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,62,83,57,31.752,44.23,2670,10,21,61,00:00:32,16%,34%,1.09s,dimension2==lufttemperatur-und-luftfeuchte-lora-sensor-messwerte,30.11.2020
bevolkerungsdichte-einw-km2,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60,81,56,23.675,34.548,1404,9,22,57,00:00:17,15%,37%,0.8s,dimension2==bevolkerungsdichte-einw-km2,30.11.2020
covid_19-contact-tracing-kanton-zuerich,13.08.2020,gesundheitsdirektion-kanton-zuerich,https://opendata.swiss/organization/gesundheitsdirektion-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,84,56,20.275,28.946,2754,3,14,57,00:00:33,5%,24%,0.74s,dimension2==covid_19-contact-tracing-kanton-zuerich,30.11.2020
covid_19-fallzahlen-kanton-zuerich,05.03.2020,gesundheitsdirektion-kanton-zuerich,https://opendata.swiss/organization/gesundheitsdirektion-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,92,66,23.941,30.924,3681,0,8,57,00:00:40,0%,14%,0.63s,dimension2==covid_19-fallzahlen-kanton-zuerich,30.11.2020
covid_19-cases-per-canton-of-switzerland-and-principality-of-liechtenstein,16.03.2020,fachstelle-ogd-kanton-zuerich,https://opendata.swiss/organization/fachstelle-ogd-kanton-zuerich,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,64,41,20.071,24.421,816,0,10,47,00:00:13,0%,21%,0.71s,dimension2==covid_19-cases-per-canton-of-switzerland-and-principality-of-liechtenstein,30.11.2020
wasserverbrauch-pro-tag-und-kopf-liter,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47,65,48,19.006,24.936,854,12,20,47,00:00:13,26%,43%,0.71s,dimension2==wasserverbrauch-pro-tag-und-kopf-liter,30.11.2020
bevolkerung-pers,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,39,58,32,16.817,20.979,612,0,10,36,00:00:11,0%,26%,0.77s,dimension2==bevolkerung-pers,30.11.2020
ertrags-aufwandueberschuss-fr-einw,15.06.2018,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,39,37,18.086,22.871,1035,29,31,36,00:00:27,81%,86%,0.9s,dimension2==ertrags-aufwandueberschuss-fr-einw,30.11.2020
vom-covid-19-lockdown-besonders-betroffene-haushalte,06.07.2020,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,52,31,7.226,12.997,897,0,3,34,00:00:17,0%,9%,0.56s,dimension2==vom-covid-19-lockdown-besonders-betroffene-haushalte,30.11.2020
ehedatenbank-kanton-zuerich,09.06.2017,staatsarchiv-kanton-zuerich,https://opendata.swiss/organization/staatsarchiv-kanton-zuerich,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,41,26,10.312,13.504,488,6,15,27,00:00:12,21%,54%,0.69s,dimension2==ehedatenbank-kanton-zuerich,30.11.2020
restaurants-anz,20.01.2016,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,39,24,12.983,16.588,378,0,3,28,00:00:10,0%,11%,0.76s,dimension2==restaurants-anz,30.11.2020
