name,issued,organization_name,organization_url,administration,agriculture,construction,crime,culture,education,energy,finances,geography,health,industry,legislation,mobility,national-economy,politics,population,prices,public-order,social-security,statistical-basis,territory,tourism,trade,work,nb_visits,nb_hits,nb_hits_with_time_generation,min_time_generation,max_time_generation,sum_time_spent,bounce_count,exit_nb_visits,sum_daily_nb_uniq_visitors,avg_time_on_dimension,bounce_rate,exit_rate,avg_time_generation,metadata_segment,date
lufttemperatur-und-luftfeuchte-lora-sensor-messwerte,2020-03-31,awel-kanton-zuerich,https://opendata.swiss/organization/awel-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,103,148,91,24.549,39.694,4635,13,44,95,31,13%,43%,0.643,dimension2==lufttemperatur-und-luftfeuchte-lora-sensor-messwerte,2020-08-31
steuerkraft-pro-kopf-fr,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,66,53,13.721,20.25,736,7,18,44,11,16%,41%,0.504,dimension2==steuerkraft-pro-kopf-fr,2020-08-31
jahresrechnungen-der-korperschaften-des-kantons-zurich,2016-12-13,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,42,27,11.833,14.127,2717,6,12,32,65,19%,38%,0.595,dimension2==jahresrechnungen-der-korperschaften-des-kantons-zurich,2020-08-31
vom-covid-19-lockdown-besonders-betroffene-haushalte,2020-07-06,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,38,30,7.577,10.535,549,0,5,32,14,0%,16%,0.492,dimension2==vom-covid-19-lockdown-besonders-betroffene-haushalte,2020-08-31
wasserverbrauch-pro-tag-und-kopf-liter,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,43,37,6.926,12.903,371,4,12,30,9,13%,39%,0.418,dimension2==wasserverbrauch-pro-tag-und-kopf-liter,2020-08-31
bevolkerungsdichte-einw-km2,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,35,32,14.617,19.657,160,16,20,30,5,53%,67%,0.769,dimension2==bevolkerungsdichte-einw-km2,2020-08-31
restaurants-anz,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,34,16,7.824,9.197,854,0,6,22,25,0%,27%,0.575,dimension2==restaurants-anz,2020-08-31
bevolkerung-pers,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,27,20,8.136,9.337,957,0,1,19,35,0%,5%,0.516,dimension2==bevolkerung-pers,2020-08-31
sterberate-pro-1000-einw,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,21,16,4.422,6.599,834,1,4,17,40,6%,24%,0.51,dimension2==sterberate-pro-1000-einw,2020-08-31
vom-covid-19-lockdown-besonders-betroffene-haushalte,2020-07-06,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,22,17,5.394,6.85,389,0,1,17,18,0%,6%,0.45,dimension2==vom-covid-19-lockdown-besonders-betroffene-haushalte,2020-08-31
restaurants-pro-1000-einwohner-anz,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,22,3.74,6.165,980,1,6,15,39,6%,38%,0.408,dimension2==restaurants-pro-1000-einwohner-anz,2020-08-31
steuerkraft-berichtigt-pro-kopf-fr,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,32,19,3.991,7.011,507,0,0,16,16,0%,0%,0.39,dimension2==steuerkraft-berichtigt-pro-kopf-fr,2020-08-31
baulandpreis-median-fr-m2,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,27,16,5.11,7.008,527,0,3,16,20,0%,19%,0.463,dimension2==baulandpreis-median-fr-m2,2020-08-31
sterbefalle-pers,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,17,9,4.561,4.748,89,0,5,13,5,0%,38%,0.577,dimension2==sterbefalle-pers,2020-08-31
bevolkerung-anteil-65-79-jahrige,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,16,11,3.302,4.912,143,0,2,11,9,0%,18%,0.553,dimension2==bevolkerung-anteil-65-79-jahrige,2020-08-31
sozialhilfequote,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,14,10,2.667,3.598,151,2,6,11,11,18%,55%,0.36,dimension2==sozialhilfequote,2020-08-31
landwirtschaftliche-nutzflache-ha,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,12,1.959,3.632,148,2,2,10,9,20%,20%,0.423,dimension2==landwirtschaftliche-nutzflache-ha,2020-08-31
anteil-siedlungsflache,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,9,3.371,4.714,337,2,4,8,22,22%,44%,0.646,dimension2==anteil-siedlungsflache,2020-08-31
leerwohnungsquote,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,10,2.623,2.832,1383,0,0,7,138,0%,0%,0.481,dimension2==leerwohnungsquote,2020-08-31
