name,issued,organization_name,organization_url,administration,agriculture,construction,crime,culture,education,energy,finances,geography,health,industry,legislation,mobility,national-economy,politics,population,prices,public-order,social-security,statistical-basis,territory,tourism,trade,work,nb_visits,nb_hits,nb_hits_with_time_generation,min_time_generation,max_time_generation,sum_time_spent,bounce_count,exit_nb_visits,sum_daily_nb_uniq_visitors,avg_time_on_dimension,bounce_rate,exit_rate,avg_time_generation,metadata_segment,date
lufttemperatur-und-luftfeuchte-lora-sensor-messwerte,2020-03-31,awel-kanton-zuerich,https://opendata.swiss/organization/awel-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,148,228,149,23.685,51.247,4751,14,40,140,21,9%,27%,0.606,dimension2==lufttemperatur-und-luftfeuchte-lora-sensor-messwerte,2020-07-31
bevolkerungsdichte-einw-km2,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,65,48,19.26,25.585,648,13,25,49,10,26%,50%,0.717,dimension2==bevolkerungsdichte-einw-km2,2020-07-31
jahresrechnungen-der-korperschaften-des-kantons-zurich,2016-12-13,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,48,32,12.407,15.698,631,10,17,34,13,29%,50%,0.648,dimension2==jahresrechnungen-der-korperschaften-des-kantons-zurich,2020-07-31
wasserverbrauch-pro-tag-und-kopf-liter,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,51,37,5.798,9.817,442,5,13,31,9,16%,42%,0.348,dimension2==wasserverbrauch-pro-tag-und-kopf-liter,2020-07-31
steuerfuss-juristische-personen,2016-11-18,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,39,28,4.791,7.726,845,1,3,26,22,4%,12%,0.416,dimension2==steuerfuss-juristische-personen,2020-07-31
restaurants-anz,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,42,27,7.249,9.628,696,0,4,21,17,0%,17%,0.447,dimension2==restaurants-anz,2020-07-31
restaurants-pro-1000-einwohner-anz,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,19,5.947,7.343,242,0,0,15,10,0%,0%,0.494,dimension2==restaurants-pro-1000-einwohner-anz,2020-07-31
sozialhilfequote,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,15,12,7.106,7.106,101,4,7,15,7,27%,47%,0.592,dimension2==sozialhilfequote,2020-07-31
vom-covid-19-lockdown-besonders-betroffene-haushalte,2020-07-06,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,16,12,3.579,4.169,402,0,3,14,25,0%,21%,0.431,dimension2==vom-covid-19-lockdown-besonders-betroffene-haushalte,2020-07-31
baulandpreis-median-fr-m2,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,19,10,3.046,3.672,199,0,4,14,10,0%,29%,0.42,dimension2==baulandpreis-median-fr-m2,2020-07-31
