name,issued,organization_name,organization_url,administration,agriculture,construction,crime,culture,education,energy,finances,geography,health,industry,legislation,mobility,national-economy,politics,population,prices,public-order,social-security,statistical-basis,territory,tourism,trade,work,nb_visits,nb_hits,nb_hits_with_time_generation,min_time_generation,max_time_generation,sum_time_spent,bounce_count,exit_nb_visits,sum_daily_nb_uniq_visitors,avg_time_on_dimension,bounce_rate,exit_rate,avg_time_generation,metadata_segment,date
lufttemperatur-und-luftfeuchte-lora-sensor-messwerte,2020-03-31,awel-kanton-zuerich,https://opendata.swiss/organization/awel-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,61,84,60,23.336,32.401,5545,8,22,57,66,13%,36%,0.785,dimension2==lufttemperatur-und-luftfeuchte-lora-sensor-messwerte,2020-09-30
jahresrechnungen-der-korperschaften-des-kantons-zurich,2016-12-13,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,73,51,16.268,24.747,1527,8,23,52,21,14%,41%,0.611,dimension2==jahresrechnungen-der-korperschaften-des-kantons-zurich,2020-09-30
bevolkerungsdichte-einw-km2,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47,67,51,20.949,25.614,1050,13,25,47,16,28%,53%,0.723,dimension2==bevolkerungsdichte-einw-km2,2020-09-30
restaurants-anz,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,70,48,10.857,18.581,1137,0,9,42,16,0%,21%,0.546,dimension2==restaurants-anz,2020-09-30
steuerkraft-pro-kopf-fr,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,57,38,23.815,28.682,2360,6,13,37,41,16%,34%,0.902,dimension2==steuerkraft-pro-kopf-fr,2020-09-30
wasserverbrauch-pro-tag-und-kopf-liter,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,62,34,10.294,16.347,3179,7,13,30,51,21%,38%,0.622,dimension2==wasserverbrauch-pro-tag-und-kopf-liter,2020-09-30
restaurants-pro-1000-einwohner-anz,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,35,27,12.016,15.125,374,2,6,26,11,7%,22%,0.616,dimension2==restaurants-pro-1000-einwohner-anz,2020-09-30
bevolkerung-pers,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,42,22,8.588,10.687,458,0,3,27,11,0%,11%,0.585,dimension2==bevolkerung-pers,2020-09-30
vom-covid-19-lockdown-besonders-betroffene-haushalte,2020-07-06,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,32,21,10.8,12.687,336,0,3,24,11,0%,13%,0.625,dimension2==vom-covid-19-lockdown-besonders-betroffene-haushalte,2020-09-30
baulandpreis-modell-median-fr-m2,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,29,21,5.29,7.604,291,1,1,16,10,6%,6%,0.364,dimension2==baulandpreis-modell-median-fr-m2,2020-09-30
steuerfuss-juristische-personen,2016-11-18,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,9,5.873,5.873,103,1,3,14,6,7%,21%,0.653,dimension2==steuerfuss-juristische-personen,2020-09-30
sterberate-pro-1000-einw,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,20,16,2.302,5.669,260,2,4,13,13,15%,31%,0.524,dimension2==sterberate-pro-1000-einw,2020-09-30
sozialhilfequote,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,23,11,3.676,4.435,486,1,4,13,21,8%,31%,0.587,dimension2==sozialhilfequote,2020-09-30
anteil-landwirtschaftsflache,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,11,3.999,4.855,85,3,4,9,7,30%,40%,0.478,dimension2==anteil-landwirtschaftsflache,2020-09-30
steuerkraft-berichtigt-pro-kopf-fr,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,10,1.928,3.554,188,0,1,10,11,0%,10%,0.426,dimension2==steuerkraft-berichtigt-pro-kopf-fr,2020-09-30
verkaufe-von-unbebautem-land-anz,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,14,8,4.65,4.699,190,0,0,10,14,0%,0%,0.588,dimension2==verkaufe-von-unbebautem-land-anz,2020-09-30
kuhe-anz,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,8,2.332,3.334,717,0,1,9,51,0%,11%,0.419,dimension2==kuhe-anz,2020-09-30
anteil-gk-a,2016-09-22,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,12,7,5.435,6.474,330,0,2,8,28,0%,22%,1.017,dimension2==anteil-gk-a,2020-09-30
baulandpreis-median-fr-m2,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,14,6,3.634,3.64,1018,0,0,9,73,0%,0%,0.608,dimension2==baulandpreis-median-fr-m2,2020-09-30
anteil-1-zi-wohnungen,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,4,3.529,3.531,440,0,0,6,31,0%,0%,1.171,dimension2==anteil-1-zi-wohnungen,2020-09-30
lufttemperatur-und-luftfeuchte-lora-sensor-messwerte,2020-03-31,awel-kanton-zuerich,https://opendata.swiss/organization/awel-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,10,7,3.781,4.843,468,0,1,8,47,0%,13%,0.694,dimension2==lufttemperatur-und-luftfeuchte-lora-sensor-messwerte,2020-09-30
gemeindebeitrag-an-zvv-fr-einw,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,12,8,5.246,7.012,222,0,1,8,19,0%,13%,1.039,dimension2==gemeindebeitrag-an-zvv-fr-einw,2020-09-30
ov-anteil-modal-split,2016-01-20,statistisches-amt-kanton-zuerich,https://opendata.swiss/organization/statistisches-amt-kanton-zuerich,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,16,12,3.524,4.246,1031,3,3,7,64,38%,38%,0.554,dimension2==ov-anteil-modal-split,2020-09-30
